0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/jquery.magnific-popup.js HTTP/1.1" 200 20214
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/gijgo.min.js HTTP/1.1" 200 177454
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/jquery.nice-select.min.js HTTP/1.1" 200 2939
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/waypoints.min.js HTTP/1.1" 200 8044
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/jquery.barfiller.js HTTP/1.1" 200 6244
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/jquery.sticky.js HTTP/1.1" 200 10085
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/jquery.counterup.min.js HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/hover-direction-snake.min.js HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/jquery.countdown.min.js HTTP/1.1" 200 5369
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/contact.js HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/jquery.form.js HTTP/1.1" 200 41094
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/jquery.validate.min.js HTTP/1.1" 200 21066
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/main.js HTTP/1.1" 200 12572
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/mail-script.js HTTP/1.1" 200 1228
